GEOID20,District,FriendlyId,GEOID23,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
17031custab1af01cf608be28a19abc42d08d5bc37cffab85,1,17031custab1af01cf608be28a19abc42d08d5bc37cffab85,40008,612,473,115,725,554,127,749,579,158,502,401,94,499,395,84,615,482,103,596,441,117,1512,804,200,150,337,0,0,150,237,0,20,0,2591,925,313,186,1167,0,36,0,0,1638,739,425,171,251,0,0,0,0,0,0,0,2524,826,459,348,892,0,49,348,467,0,0,0,425,1987,866,477,157,485,37,0,0,0,1552,732,334,102,368,26,0,0,0,1585,678,352,96,407,6,0,7,39,1980,773,479,168,567,50,1,1585,678,352,115,436,35,0
17031cust75003c45cc98401c0976a03eccd12998b347a10b,1,17031cust75003c45cc98401c0976a03eccd12998b347a10b,40009,1120,868,199,1245,948,193,1275,987,266,925,738,164,925,747,137,1184,922,194,1143,871,214,2066,1125,437,66,434,0,0,66,367,0,0,0,3807,1794,1109,77,885,81,0,0,0,1657,1077,336,61,175,0,0,0,0,0,0,0,3427,1692,734,98,956,81,0,80,310,0,0,7,605,3392,1449,927,358,693,39,12,0,0,2679,1263,633,253,544,23,7,0,0,2738,1198,683,219,555,6,0,3,74,3372,1340,906,355,782,92,4,2738,1198,683,260,599,73,1
17031cust59fb09ca5c550f527314c5c80c23025d24466820,1,17031cust59fb09ca5c550f527314c5c80c23025d24466820,40010,1295,1104,144,1441,1222,131,1458,1274,160,1193,1017,150,1198,1016,148,1263,1081,124,1238,1026,151,1920,1309,320,70,125,95,0,60,112,30,0,0,2559,1472,693,96,245,111,0,0,0,1881,1231,399,92,74,58,0,0,0,0,0,0,2487,1320,815,113,167,129,0,93,89,24,0,0,146,2585,1261,813,232,320,39,8,0,0,2122,1144,559,173,262,20,8,0,0,2091,1191,467,155,202,1,0,7,68,2490,1311,616,265,285,44,5,2091,1191,467,189,245,29,1
17031cust34ab46a5f7b21cd291d7c471153e2f98a932b404,1,17031cust34ab46a5f7b21cd291d7c471153e2f98a932b404,40011,1149,833,265,1303,935,289,1375,957,393,905,678,205,919,681,189,1226,910,239,1175,833,272,2412,1157,568,143,536,5,0,143,409,2,0,0,4135,1874,966,207,1097,12,0,0,0,2197,940,566,71,597,3,0,0,0,0,0,0,3817,1543,1111,146,1055,6,0,134,733,0,0,0,294,4047,1938,711,227,1179,25,24,0,0,3203,1639,507,142,913,18,22,0,0,3263,1403,657,122,988,8,0,14,71,4009,1686,825,207,1273,66,4,3263,1403,657,145,1040,55,3
17031cust0c108a8f306cf59bfe6d672e6c0af8b68b695ccc,1,17031cust0c108a8f306cf59bfe6d672e6c0af8b68b695ccc,40012,1063,862,160,1195,976,159,1223,1000,203,904,744,145,908,751,127,1087,886,141,1073,825,186,1751,1003,379,108,253,3,0,108,194,0,0,0,2924,1420,827,156,558,35,0,0,0,1748,919,411,151,235,0,0,0,0,0,0,0,2953,1317,805,174,746,27,0,115,397,0,0,1,322,2900,1523,734,229,423,50,8,0,0,2341,1299,534,173,337,30,5,0,0,2448,1222,526,256,373,6,0,8,57,3045,1439,701,353,553,59,9,2448,1222,526,274,425,42,7
17031custf5a057bf0de8be65248921a4edfd4ac403ad8574,1,17031custf5a057bf0de8be65248921a4edfd4ac403ad8574,40013,855,739,87,955,830,79,965,858,90,776,678,86,773,665,89,838,725,72,826,684,108,1292,921,195,100,66,13,0,93,43,10,0,0,1848,1141,451,150,109,17,0,0,0,1350,1021,190,94,47,9,0,0,0,0,0,0,1734,1165,378,166,93,10,0,82,50,8,0,0,48,1791,1095,453,92,143,24,1,0,0,1460,939,320,83,113,21,0,0,0,1482,964,247,97,117,2,0,6,49,1735,1129,279,148,159,40,0,1482,964,247,123,136,27,0
17031cust71629690b4e9b35df86736e21c2b2278cb3c560f,1,17031cust71629690b4e9b35df86736e21c2b2278cb3c560f,40014,1338,1166,123,1436,1255,106,1445,1301,122,1258,1103,129,1248,1078,137,1357,1184,97,1324,1095,162,1913,1522,200,98,87,5,0,92,60,5,0,0,2425,1747,395,152,139,17,0,0,0,1980,1559,338,49,75,6,0,0,0,0,0,0,2490,1805,410,168,175,17,0,86,75,7,0,2,103,2367,1443,570,131,216,31,1,0,0,1972,1279,407,113,172,19,1,0,0,2013,1384,366,70,116,3,0,10,64,2369,1570,455,125,200,34,2,2013,1384,366,97,147,26,2
17031cust76c733929e26e00b4a0e1bf771cd2dd135b6aa09,1,17031cust76c733929e26e00b4a0e1bf771cd2dd135b6aa09,40015,856,759,72,936,825,72,946,862,68,788,701,75,789,699,74,851,748,62,836,711,95,1375,1081,45,114,115,20,0,114,113,0,0,0,1648,1193,85,169,191,36,0,0,0,1394,1054,56,112,170,37,0,0,0,0,0,0,1686,1145,94,153,271,34,0,144,226,0,0,0,77,1529,975,315,62,185,9,2,0,0,1292,869,234,49,143,7,2,0,0,1302,894,193,40,120,4,2,8,41,1494,988,247,65,177,30,2,1302,894,193,49,142,26,2
17031cust0a0d6ad0049cc0c8f5e16dde1d1a20bb004c0b7c,1,17031cust0a0d6ad0049cc0c8f5e16dde1d1a20bb004c0b7c,40016,885,778,77,979,854,70,987,896,76,799,710,79,798,715,70,883,762,69,874,730,105,1240,875,225,30,75,30,0,10,75,0,0,0,1550,1066,261,51,107,67,0,0,0,1250,845,250,65,65,25,0,0,0,0,0,0,1486,1022,278,106,72,62,0,47,72,0,0,0,67,1598,933,395,83,202,10,0,0,0,1351,836,294,62,169,8,0,0,0,1328,892,228,45,104,2,3,9,45,1565,1013,317,64,146,33,6,1328,892,228,56,125,27,4
17031cust3b59f83acc3410e5d3a1afca709c0242d037336b,1,17031cust3b59f83acc3410e5d3a1afca709c0242d037336b,40017,877,707,139,996,795,138,1000,822,166,762,630,120,756,617,121,876,712,123,870,660,154,1553,880,166,90,412,14,0,67,390,1,0,0,1982,1063,290,177,470,50,12,0,0,1480,985,164,47,259,16,0,0,0,0,0,0,1927,1290,231,116,327,51,11,41,295,0,0,0,77,1907,1106,422,114,264,25,7,0,0,1577,978,307,72,219,14,7,0,0,1538,937,284,59,184,4,1,4,65,1926,1132,385,130,259,48,5,1538,937,284,92,208,40,3
17031cust27237eb51708573c897b8d72f9b55d00b9c8f543,1,17031cust27237eb51708573c897b8d72f9b55d00b9c8f543,40018,1098,919,134,1224,1018,137,1225,1050,157,978,836,126,973,827,118,1115,932,111,1084,863,157,1663,1022,294,144,189,38,0,92,166,1,0,0,2251,1147,536,271,314,115,27,0,0,1870,1408,245,50,168,40,0,0,0,0,0,0,2379,1498,417,164,338,111,24,18,279,1,0,0,161,2148,1324,470,78,267,21,3,0,0,1812,1178,342,59,225,13,3,0,0,1847,1225,325,45,173,4,1,1,73,2167,1411,400,102,242,53,2,1847,1225,325,75,205,39,2
